#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2026-04-15, 10:31:16
# Real time (s): 6165.170
# Live time (s): 6000.000
#
# Total counts:  578519
#
# Left marker:  1745 (656.430 keV)
# Right marker: 1779 (669.055 keV)
# Counts:       3052
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: 8.481379
#     A1: 0.371317
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy(keV)	counts	rate(1/s)
#-----------------------------------------------------------------------
623	239.812	331	0.0551667
624	240.183	352	0.0586667
625	240.555	304	0.0506667
626	240.926	321	0.0535
627	241.297	317	0.0528333
628	241.669	318	0.053
629	242.040	331	0.0551667
630	242.411	310	0.0516667
631	242.783	349	0.0581667
632	243.154	328	0.0546667
633	243.525	354	0.059
634	243.897	289	0.0481667
635	244.268	331	0.0551667
636	244.639	320	0.0533333
637	245.011	354	0.059
638	245.382	333	0.0555
639	245.753	306	0.051
640	246.125	307	0.0511667
641	246.496	335	0.0558333
642	246.867	318	0.053
643	247.238	319	0.0531667
644	247.610	276	0.046
645	247.981	354	0.059
646	248.352	301	0.0501667
647	248.724	306	0.051
648	249.095	271	0.0451667
649	249.466	315	0.0525
650	249.838	325	0.0541667
651	250.209	331	0.0551667
652	250.580	339	0.0565
653	250.952	314	0.0523333
654	251.323	307	0.0511667
655	251.694	325	0.0541667
656	252.066	326	0.0543333
657	252.437	321	0.0535
658	252.808	330	0.055
659	253.180	329	0.0548333
660	253.551	330	0.055
661	253.922	316	0.0526667
662	254.293	340	0.0566667
663	254.665	360	0.06
664	255.036	307	0.0511667
665	255.407	346	0.0576667
666	255.779	304	0.0506667
667	256.150	304	0.0506667
668	256.521	308	0.0513333
669	256.893	353	0.0588333
670	257.264	315	0.0525
671	257.635	332	0.0553333
672	258.007	306	0.051
673	258.378	345	0.0575
674	258.749	320	0.0533333
675	259.121	347	0.0578333
676	259.492	333	0.0555
677	259.863	320	0.0533333
678	260.235	321	0.0535
679	260.606	315	0.0525
680	260.977	268	0.0446667
681	261.349	287	0.0478333
682	261.720	326	0.0543333
683	262.091	292	0.0486667
684	262.462	278	0.0463333
685	262.834	297	0.0495
686	263.205	271	0.0451667
687	263.576	305	0.0508333
688	263.948	258	0.043
689	264.319	268	0.0446667
690	264.690	260	0.0433333
691	265.062	272	0.0453333
692	265.433	255	0.0425
693	265.804	286	0.0476667
694	266.176	274	0.0456667
695	266.547	281	0.0468333
696	266.918	282	0.047
697	267.290	283	0.0471667
698	267.661	276	0.046
699	268.032	263	0.0438333
700	268.404	297	0.0495
701	268.775	271	0.0451667
702	269.146	273	0.0455
703	269.518	268	0.0446667
